subj,auc
sub-p019,0.533533
sub-p020,0.723957
sub-p021,0.545888
sub-p023,0.674314
sub-p026,0.657702
sub-p027,0.533404
sub-p028,0.632961
sub-p030,0.484093
sub-p031,0.463374
sub-p032,0.466295
sub-p033,0.753826
sub-p034,0.447444
sub-p035,0.693668
sub-p036,0.693500
sub-p037,0.566669
sub-p038,0.453879
sub-p039,0.736356
sub-p040,0.660580
sub-p043,0.659727
sub-p044,0.632090
sub-p046,0.644943
sub-p047,0.564414
sub-p048,0.684129
sub-p049,0.395348
sub-p050,0.678642
sub-p051,0.607164
sub-p052,0.477463
sub-p054,0.637469
sub-p055,0.521404
