subj,acc,f1,auc
sub-p019,0.499,0.567,0.527
sub-p020,0.663,0.490,0.727
sub-p021,0.663,0.408,0.527
sub-p023,0.626,0.433,0.711
sub-p026,0.557,0.255,0.524
sub-p027,0.549,0.369,0.624
sub-p028,0.542,0.464,0.537
sub-p030,0.398,0.482,0.433
sub-p031,0.399,0.417,0.351
sub-p032,0.613,0.552,0.627
sub-p033,0.646,0.523,0.778
sub-p034,0.494,0.359,0.390
sub-p035,0.734,0.846,0.539
sub-p036,0.673,0.728,0.735
sub-p037,0.488,0.293,0.387
sub-p038,0.515,0.496,0.557
sub-p039,0.294,0.391,0.713
sub-p040,0.461,0.615,0.365
sub-p043,0.593,0.686,0.663
sub-p044,0.562,0.628,0.562
sub-p046,0.528,0.115,0.698
sub-p047,0.531,0.498,0.547
sub-p048,0.572,0.703,0.657
sub-p049,0.418,0.136,0.349
sub-p050,0.513,0.634,0.531
sub-p051,0.431,0.468,0.696
sub-p052,0.418,0.163,0.347
sub-p054,0.517,0.669,0.633
sub-p055,0.312,0.261,0.672
