subj,acc,f1,auc,n
sub-p019,0.527,0.2630102836,0.57766208,5000
sub-p020,0.639254386,0.6309176576,0.7112870874,4560
sub-p021,0.5262633806,0.443078724,0.4852706658,4017
sub-p023,0.5878,0.4222035324,0.63203672,5000
sub-p026,0.5449256626,0.3043478261,0.5553218855,3094
sub-p027,0.5608,0.5425,0.59469376,5000
sub-p028,0.5404,0.4697738809,0.54738264,5000
sub-p030,0.2328935256,0.1808650066,0.3729805007,3259
sub-p031,0.4334,0.3503783536,0.39122776,5000
sub-p032,0.4882928906,0.5546498703,0.500744495,4698
sub-p033,0.7336,0.6899441341,0.8312308,5000
sub-p034,0.4874,0.3638620005,0.45563944,5000
sub-p035,0.5622317597,0.6850231601,0.7318527027,2796
sub-p036,0.605,0.5105328377,0.6756344,5000
sub-p037,0.4964,0.4243255601,0.47736216,5000
sub-p038,0.6342152582,0.3867355728,0.6640153625,3893
sub-p039,0.5173160173,0.4670536019,0.7519583106,3234
sub-p040,0.5449918567,0.4132318194,0.6013171642,4912
sub-p043,0.6822,0.645233311,0.7745832,5000
sub-p044,0.5998,0.5852849741,0.64559648,5000
sub-p046,0.581,0.5074065366,0.64270008,5000
sub-p047,0.4362373737,0.4617239301,0.4597689165,4752
sub-p048,0.5655413271,0.5588652482,0.6119583287,4295
sub-p049,0.372,0.178440607,0.28995016,5000
sub-p050,0.4928,0.5921518173,0.51301112,5000
sub-p051,0.5218684915,0.435546189,0.6436963995,3361
sub-p052,0.6211750306,0.2233375157,0.5701070313,3268
sub-p054,0.545,0.4833068362,0.5681696,5000
sub-p055,0.4555944056,0.2496385542,0.6186577778,2860
