subj,acc,f1,auc,n
sub-p019,0.5196666667,0.5175761634,0.5315733333,3000
sub-p020,0.5486666667,0.6885924563,0.7007737778,3000
sub-p021,0.4166666667,0.3859649123,0.3706986667,3000
sub-p023,0.5563333333,0.2091503268,0.75908,3000
sub-p026,0.5558739255,0.5074152542,0.7148574635,2094
sub-p027,0.5086666667,0.4899653979,0.4895217778,3000
sub-p028,0.565,0.4293834718,0.6091933333,3000
sub-p030,0.6564851704,0.7926242651,0.1916701801,2259
sub-p031,0.4713333333,0.06375442739,0.2755906667,3000
sub-p032,0.4813333333,0.1118721461,0.5568222222,3000
sub-p033,0.629,0.7229275579,0.8356035556,3000
sub-p034,0.481,0.5857940942,0.5011017778,3000
sub-p035,0.4827394209,0.5652784277,0.7107207207,1796
sub-p036,0.5326666667,0.6736499069,0.5559937778,3000
sub-p037,0.5556666667,0.6877488873,0.7478015556,3000
sub-p038,0.5274801244,0.3182044888,0.6118061737,2893
sub-p039,0.3849597135,0.5165376495,0.6674069028,2234
sub-p040,0.5603333333,0.3140925637,0.767226,3000
sub-p043,0.5926666667,0.675,0.6028746667,3000
sub-p044,0.5896666667,0.4124105012,0.7426973333,3000
sub-p046,0.583,0.4776617954,0.682984,3000
sub-p047,0.4803333333,0.4573616429,0.5049626667,3000
sub-p048,0.714,0.6643192488,0.8154471111,3000
sub-p049,0.4856666667,0.1992734821,0.5787466667,3000
sub-p050,0.607,0.6426189754,0.6268106667,3000
sub-p051,0.6781024989,0.4053208138,0.3990398761,2361
sub-p052,0.6093474427,0.2785016287,0.5428133681,2268
sub-p054,0.5503333333,0.6665018541,0.6439813333,3000
sub-p055,0.7059139785,0.3084702908,0.5595037037,1860
